,Tesla,Nio,Rivian,Lucid Motors,Ford,General Motors,Interest Rate,CCI,Oil Prices,CPI
2021-11-10,355.98333740234375,39.54999923706055,100.7300033569336,40.75,15.992259979248047,57.90793991088867,0.16399788,109.5,81.34,5.921977524520989
2021-11-11,354.5033264160156,42.20000076293945,122.98999786376953,44.97999954223633,16.149208068847656,60.39934539794922,0.16399788,109.5,81.59,5.921977524520989
2021-11-12,344.47332763671875,42.66999816894531,129.9499969482422,43.93000030517578,16.107906341552734,61.94303512573242,0.16399788,109.5,80.79,5.921977524520989
2021-11-15,337.7966613769531,40.56999969482422,149.36000061035156,44.880001068115234,16.40528106689453,61.52292251586914,0.16399788,109.5,80.88,5.921977524520989
2021-11-16,351.57666015625,40.66999816894531,172.00999450683594,55.52000045776367,16.34745979309082,61.17119216918945,0.16399788,109.5,80.556,5.921977524520989
2021-11-17,363.0033264160156,39.66999816894531,146.07000732421875,52.54999923706055,16.487882614135742,63.125221252441406,0.16399788,109.5,78.036,5.921977524520989
2021-11-18,365.4599914550781,38.40999984741211,123.37999725341797,47.04999923706055,16.23882293701172,60.89762496948242,0.16399788,109.5,78.65,5.921977524520989
2021-11-19,379.0199890136719,38.65999984741211,128.60000610351562,55.209999084472656,16.097684860229492,60.37980270385742,0.16399788,109.5,75.972,5.921977524520989
2021-11-22,385.6233215332031,41.4900016784668,118.11000061035156,51.119998931884766,17.002614974975586,62.58787155151367,0.16399788,109.5,76.75,5.921977524520989
2021-11-23,369.6766662597656,42.040000915527344,119.8499984741211,52.439998626708984,16.770156860351562,61.60107421875,0.16399788,109.5,78.5,5.921977524520989
2021-11-24,372.0,41.41999816894531,114.8499984741211,52.56999969482422,16.811668395996094,60.760833740234375,0.16399788,109.5,78.39,5.921977524520989
2021-11-26,360.6400146484375,39.9900016784668,112.12999725341797,51.720001220703125,16.396564483642578,58.78725814819336,0.16399788,109.5,68.15,5.921977524520989
2021-11-29,378.9966735839844,40.459999084472656,119.7699966430664,55.060001373291016,16.330148696899414,58.4843864440918,0.16399788,109.5,69.95,5.921977524520989
2021-11-30,381.586669921875,39.130001068115234,119.76000213623047,52.97999954223633,15.931648254394531,56.54011535644531,0.16399788,109.5,66.18,5.921977524520989
2021-12-01,365.0,38.310001373291016,115.69000244140625,51.13999938964844,16.255428314208984,56.72575378417969,0.09168917,115.8,65.57,4.864243460542441
2021-12-02,361.5333251953125,36.20000076293945,110.7699966430664,48.40999984741211,16.49618911743164,59.61773681640625,0.09168917,115.8,66.5,4.864243460542441
2021-12-03,338.3233337402344,32.150001525878906,104.66999816894531,47.27000045776367,15.890140533447266,58.337825775146484,0.09168917,115.8,66.26,4.864243460542441
2021-12-06,336.336669921875,32.34000015258789,116.77999877929688,44.86000061035156,15.956552505493164,58.464847564697266,0.09168917,115.8,69.49,4.864243460542441
2021-12-07,350.5833435058594,33.119998931884766,116.18000030517578,43.880001068115234,16.570903778076172,60.11600112915039,0.09168917,115.8,72.05,4.864243460542441
2021-12-08,356.32000732421875,35.04999923706055,122.12000274658203,44.720001220703125,16.44637680053711,59.383243560791016,0.09168917,115.8,72.36,4.864243460542441
2021-12-09,334.6000061035156,34.04999923706055,115.4000015258789,36.52000045776367,16.247129440307617,58.249908447265625,0.09168917,115.8,70.94,4.864243460542441
2021-12-10,339.010009765625,34.2599983215332,114.66000366210938,37.65999984741211,17.807912826538086,61.75740432739258,0.09168917,115.8,71.67,4.864243460542441
2021-12-13,322.13665771484375,33.65999984741211,118.9000015258789,39.150001525878906,16.96110725402832,57.77116012573242,0.09168917,115.8,71.29,4.864243460542441
2021-12-14,319.5033264160156,32.29999923706055,117.13999938964844,40.869998931884766,16.645626068115234,57.057945251464844,0.09168917,115.8,70.73,4.864243460542441
2021-12-15,325.3299865722656,30.790000915527344,115.0,40.810001373291016,16.761856079101562,57.26311111450195,0.09168917,115.8,70.828,4.864243460542441
2021-12-16,308.97332763671875,30.06999969482422,108.87000274658203,40.04999923706055,16.894689559936523,57.04816818237305,0.09168917,115.8,72.288,4.864243460542441
2021-12-17,310.8566589355469,30.0,97.69999694824219,40.0099983215332,16.41316795349121,53.892391204833984,0.09168917,115.8,70.776,4.864243460542441
2021-12-20,299.9800109863281,28.15999984741211,89.9800033569336,37.9900016784668,16.12259864807129,52.79813766479492,0.09168917,115.8,68.534,4.864243460542441
2021-12-21,312.84332275390625,30.15999984741211,96.81999969482422,38.02000045776367,16.280338287353516,53.53089904785156,0.09168917,115.8,71.12,4.864243460542441
2021-12-22,336.2900085449219,29.850000381469727,96.33999633789062,38.70000076293945,16.720346450805664,54.79125213623047,0.09168917,115.8,72.76,4.864243460542441
2021-12-23,355.6666564941406,30.520000457763672,96.83999633789062,37.63999938964844,16.811668395996094,55.602176666259766,0.09168917,115.8,73.79,4.864243460542441
2021-12-27,364.64666748046875,29.959999084472656,107.08999633789062,38.63999938964844,17.268278121948242,56.1102294921875,0.09168917,115.8,75.57,4.864243460542441
2021-12-28,362.8233337402344,29.6299991607666,102.87000274658203,36.97999954223633,17.23507308959961,55.79758071899414,0.09168917,115.8,75.98,4.864243460542441
2021-12-29,362.0633239746094,28.25,99.33999633789062,36.970001220703125,17.069032669067383,55.914825439453125,0.09168917,115.8,76.56,4.864243460542441
2021-12-30,356.7799987792969,32.41999816894531,103.41999816894531,38.75,16.994312286376953,56.79414367675781,0.09168917,115.8,76.99,4.864243460542441
2021-12-31,352.260009765625,31.68000030517578,103.69000244140625,38.04999923706055,17.243375778198242,57.28265380859375,0.09168917,115.8,75.21,4.864243460542441
2022-01-03,399.9266662597656,33.470001220703125,102.72000122070312,40.93000030517578,18.073579788208008,59.764286041259766,0.3194951,113.8,76.08,6.73598572134309
2022-01-04,383.1966552734375,31.579999923706055,101.38999938964844,39.40999984741211,20.182302474975586,64.229248046875,0.3194951,113.8,76.99,6.73598572134309
2022-01-05,362.7066650390625,29.8799991607666,90.01000213623047,36.68000030517578,19.642669677734375,61.29819869995117,0.3194951,113.8,77.85,6.73598572134309
2022-01-06,354.8999938964844,29.309999465942383,87.33000183105469,38.220001220703125,20.306833267211914,61.42521667480469,0.3194951,113.8,79.46,6.73598572134309
2022-01-07,342.32000732421875,29.299999237060547,86.27999877929688,41.97999954223633,20.290231704711914,60.83900451660156,0.3194951,113.8,78.9,6.73598572134309
2022-01-10,352.7066650390625,28.90999984741211,81.44000244140625,41.720001220703125,19.8004093170166,59.66658020019531,0.3194951,113.8,78.23,6.73598572134309
2022-01-11,354.79998779296875,30.020000457763672,83.55000305175781,45.470001220703125,20.21551513671875,60.04761505126953,0.3194951,113.8,81.22,6.73598572134309
2022-01-12,368.739990234375,31.68000030517578,86.4800033569336,45.43000030517578,20.31513214111328,59.62750244140625,0.3194951,113.8,82.64,6.73598572134309
2022-01-13,343.85333251953125,30.479999542236328,80.30999755859375,41.40999984741211,20.77174949645996,60.35049819946289,0.3194951,113.8,82.12,6.73598572134309
2022-01-14,349.8699951171875,30.950000762939453,79.94999694824219,42.220001220703125,20.912883758544922,59.695892333984375,0.3194951,113.8,83.716,6.73598572134309
2022-01-18,343.5033264160156,29.610000610351562,73.16000366210938,39.209999084472656,20.24041748046875,57.438968658447266,0.3194951,113.8,85.19,6.73598572134309
2022-01-19,331.8833312988281,28.6299991607666,69.4000015258789,40.029998779296875,18.638120651245117,54.94757843017578,0.3194951,113.8,86.264,6.73598572134309
2022-01-20,332.0899963378906,29.1299991607666,65.0199966430664,38.720001220703125,17.97395896911621,53.39412307739258,0.3194951,113.8,85.82,6.73598572134309
2022-01-21,314.6333312988281,27.350000381469727,64.51000213623047,37.75,17.143749237060547,52.05559539794922,0.3194951,113.8,85.14,6.73598572134309
2022-01-24,310.0,24.8700008392334,63.900001525878906,37.75,16.92789649963379,51.4303092956543,0.3194951,113.8,83.31,6.73598572134309
